Batch,CER,WER
0,0.0094,0.0667
1,0.0393,0.2833
2,0.0405,0.2167
3,0.0496,0.3667
4,0.0338,0.1833
5,0.0627,0.4333
6,0.0208,0.1500
7,0.0338,0.2667
8,0.0453,0.2333
9,0.0228,0.1500
10,0.0203,0.1667
11,0.0210,0.1333
12,0.0304,0.2167
13,0.0143,0.1333
14,0.0265,0.2333
15,0.0243,0.1000
16,0.0555,0.3000
17,0.0250,0.1667
18,0.0372,0.2667
19,0.0392,0.4000
20,0.0683,0.4167
21,0.0274,0.2167
22,0.0133,0.1167
23,0.0538,0.2833
24,0.0218,0.1695
25,0.0209,0.1500
26,0.0929,0.5000
27,0.0280,0.2833
28,0.0521,0.3167
29,0.0521,0.4167
30,0.0226,0.1333
31,0.0382,0.2500
32,0.0217,0.2000
33,0.0588,0.3333
34,0.0498,0.3000
35,0.0436,0.3333
36,0.0250,0.2167
37,0.0502,0.3333
38,0.0759,0.3833
39,0.1245,0.3898
40,0.1196,0.5833
41,0.0324,0.2500
42,0.0656,0.3333
43,0.0260,0.2333
44,0.0363,0.2667
45,0.0261,0.1667
46,0.0465,0.2667
47,0.0496,0.3000
48,0.0467,0.3500
49,0.0558,0.4167
50,0.0220,0.1833
51,0.0649,0.4500
52,0.0375,0.2500
53,0.0410,0.3000
54,0.0246,0.2167
55,0.0388,0.3167
56,0.0524,0.3333
57,0.0291,0.1864
58,0.0268,0.2000
59,0.0353,0.2500
60,0.0497,0.3167
61,0.0458,0.3000
62,0.0884,0.5833
63,0.1066,0.5333
64,0.0597,0.2833
65,0.0469,0.3167
66,0.0827,0.4667
67,0.0509,0.3000
68,0.0543,0.3000
69,0.0417,0.2833
70,0.0616,0.2833
71,0.0212,0.2167
72,0.0396,0.2857
73,0.0389,0.2759
74,0.0462,0.2586
75,0.0385,0.2593
76,0.0344,0.2931
77,0.0347,0.3500
78,0.0604,0.4107
79,0.0559,0.3333
80,0.0464,0.3393
81,0.0684,0.3621
82,0.0722,0.4333
83,0.1011,0.5893
84,0.0497,0.3167
85,0.0733,0.5179
86,0.1384,0.7500
87,0.0481,0.4286
88,0.0427,0.4643
89,0.1002,0.5741
90,0.0293,0.2667
91,0.0406,0.2000
92,0.0278,0.2321
93,0.0305,0.2931
94,0.0660,0.4138
95,0.0762,0.5577
96,0.0554,0.3793
97,0.0857,0.5893
98,0.0438,0.3276
99,0.0431,0.3500
100,0.0520,0.3621
101,0.0900,0.5357
102,0.0531,0.5000
103,0.0506,0.4828
104,0.0269,0.3000
105,0.0846,0.4828
106,0.0538,0.4286
107,0.0314,0.3103
108,0.1002,0.6964
109,0.0551,0.4828
110,0.0428,0.3966
111,0.0634,0.5179
112,0.0383,0.2586
113,0.0672,0.4310
114,0.0554,0.3448
115,0.0579,0.4038
116,0.0773,0.6034
117,0.0777,0.6607
118,0.0812,0.4500
119,0.0590,0.5345
120,0.1070,0.7069
121,0.1028,0.5517
122,0.0826,0.4464
123,0.0899,0.5926
124,0.0415,0.3793
125,0.0462,0.3750
126,0.0232,0.1833
127,0.0554,0.2833
128,0.0511,0.3103
129,0.1408,0.9231
130,0.0519,0.3448
131,0.0312,0.2500
132,0.0599,0.3667
133,0.0192,0.1833
134,0.0422,0.3793
135,0.0419,0.3462
136,0.0825,0.4821
137,0.0325,0.2759
138,0.0506,0.3448
139,0.0745,0.4286
140,0.0588,0.3333
